,teamID,yearID,G,W,L,R,RA,RD,Wpct,PWpct,residuals
2613,NYN,2009,162,70,92,671,757,-86,0.43209876543209874,0.4399935502154814,-0.00789478478338268
2614,OAK,2009,162,75,87,759,761,-2,0.46296296296296297,0.4986842128043407,-0.035721249841377756
2615,PHI,2009,162,93,69,820,709,111,0.5740740740740741,0.5722158727781319,0.0018582012959421634
2616,PIT,2009,161,62,99,636,768,-132,0.38509316770186336,0.4068066618392469,-0.02171349413738355
2617,SDN,2009,162,75,87,638,769,-131,0.46296296296296297,0.40769427236442124,0.055268690598541725
2618,SEA,2009,162,85,77,640,692,-52,0.5246913580246914,0.4610203677357777,0.06367099028891365
2619,SFN,2009,162,88,74,657,611,46,0.5432098765432098,0.5362299216119856,0.006979954931224275
2620,SLN,2009,162,91,71,730,640,90,0.5617283950617284,0.5654111405835544,-0.003682745521825903
2621,TBA,2009,162,84,78,803,754,49,0.5185185185185185,0.5314396390085097,-0.012921120489991167
2622,TEX,2009,162,87,75,784,740,44,0.5370370370370371,0.5288473451631999,0.008189691873837224
2623,TOR,2009,162,75,87,798,771,27,0.46296296296296297,0.5172033185921567,-0.05424035562919377
2624,WAS,2009,162,59,103,710,874,-164,0.36419753086419754,0.3975627298939412,-0.033365199029743664
2625,ARI,2010,162,65,97,713,836,-123,0.4012345679012346,0.4210914753595938,-0.01985690745835922
2626,ATL,2010,162,91,71,738,629,109,0.5617283950617284,0.5792328921550381,-0.0175044970933097
2627,BAL,2010,162,66,96,613,785,-172,0.4074074074074074,0.37880168630052197,0.028605721106885418
2628,BOS,2010,162,89,73,818,744,74,0.5493827160493827,0.5472690690788936,0.0021136469704891026
2629,CHA,2010,162,88,74,752,704,48,0.5432098765432098,0.5329312424607962,0.010278634082413696
2630,CHN,2010,162,75,87,685,767,-82,0.46296296296296297,0.4437057098062059,0.01925725315675708
2631,CIN,2010,162,91,71,790,685,105,0.5617283950617284,0.5708275215512313,-0.00909912648950284
2632,CLE,2010,162,69,93,646,752,-106,0.42592592592592593,0.4246108137807533,0.0013151121451726033
2633,COL,2010,162,83,79,770,717,53,0.5123456790123457,0.5355970113524163,-0.023251332340070596
2634,DET,2010,162,81,81,751,743,8,0.5,0.5053545988082971,-0.00535459880829714
2635,FLO,2010,162,80,82,719,717,2,0.49382716049382713,0.5013927549585374,-0.007565594464710279
2636,HOU,2010,162,76,86,611,729,-118,0.4691358024691358,0.41261790393495745,0.056517898534178324
2637,KCA,2010,162,67,95,676,845,-169,0.41358024691358025,0.3902439024390244,0.023336344474555848
2638,LAA,2010,162,80,82,681,702,-21,0.49382716049382713,0.4848191184080538,0.009008042085773327
2639,LAN,2010,162,80,82,667,692,-25,0.49382716049382713,0.4816103438906288,0.012216816603198344
2640,MIL,2010,162,77,85,750,804,-54,0.47530864197530864,0.4652928739465769,0.01001576802873172
2641,MIN,2010,162,94,68,781,671,110,0.5802469135802469,0.5753252682036065,0.004921645376640416
2642,NYA,2010,162,95,67,859,693,166,0.5864197530864198,0.6057489758892729,-0.019329222802853097
2643,NYN,2010,162,79,83,656,652,4,0.4876543209876543,0.5030580753764144,-0.015403754388760127
2644,OAK,2010,162,81,81,663,626,37,0.5,0.528680790671662,-0.02868079067166196
2645,PHI,2010,162,97,65,772,640,132,0.5987654320987654,0.5926745055609477,0.006090926537817731
2646,PIT,2010,162,57,105,587,866,-279,0.35185185185185186,0.3148114478883534,0.03704040396349845
2647,SDN,2010,162,90,72,665,581,84,0.5555555555555556,0.5671107201206484,-0.011555164565092868
2648,SEA,2010,162,61,101,513,698,-185,0.3765432098765432,0.3507175764586412,0.025825633417902005
2649,SFN,2010,162,92,70,697,583,114,0.5679012345679012,0.5883616043638231,-0.020460369795921918
2650,SLN,2010,162,86,76,736,641,95,0.5308641975308642,0.5686637405690038,-0.037799543038139594
2651,TBA,2010,162,96,66,802,649,153,0.5925925925925926,0.6042850230880163,-0.011692430495423789
2652,TEX,2010,162,90,72,787,687,100,0.5555555555555556,0.5675317820876759,-0.011976226532120271
2653,TOR,2010,162,85,77,755,728,27,0.5246913580246914,0.518200305633863,0.006491052390828367
2654,WAS,2010,162,69,93,655,742,-87,0.42592592592592593,0.4379642891049205,-0.012038363178994593
2655,ARI,2011,162,94,68,731,662,69,0.5802469135802469,0.5494121457323374,0.030834767847909506
2656,ATL,2011,162,89,73,641,605,36,0.5493827160493827,0.5288683573044873,0.020514358744895378
2657,BAL,2011,162,69,93,708,860,-152,0.42592592592592593,0.4039636898161281,0.021962236109797806
2658,BOS,2011,162,90,72,875,737,138,0.5555555555555556,0.5849851084280643,-0.029429552872508702
2659,CHA,2011,162,79,83,654,706,-52,0.4876543209876543,0.46182052190137257,0.02583379908628175
2660,CHN,2011,162,71,91,654,756,-102,0.4382716049382716,0.4280361710559499,0.010235433882321732
2661,CIN,2011,162,79,83,735,720,15,0.4876543209876543,0.510308182784272,-0.022653861796617714
2662,CLE,2011,162,80,82,704,760,-56,0.49382716049382713,0.46180452024569146,0.03202264024813567
